ID,Term,Original definition,Claude Sonnet 4.6,GPT-4,Llama 3.2 3B,Gemma 9B
001,titanio,"Elemento metálico, de color gris oscuro, distribuido ampliamente, pero que se encuentra en cantidades pequeñas; con número atómico, 22, peso atómico, 47,867 símbolo Ti y densidad 4.5. Se emplea para la fijación de las fracturas.","Metal fuerte y ligero, de color gris oscuro, que se encuentra en la naturaleza en pequeñas cantidades. El cuerpo lo tolera bien y no se estropea con facilidad. Por estas características, se usa en medicina para fabricar piezas que ayudan a mantener unidos los huesos rotos mientras se curan, como tornillos o placas.
","Metal de color gris oscuro, ligero y muy resistente. No se oxida con facilidad y es bien tolerado por el cuerpo humano. Por eso se usa en medicina para unir huesos rotos y fabricar piezas que ayudan a reparar o sustituir partes del cuerpo.","El elemento metálico se utiliza comúnmente para unir huesos rotos, especialmente en cirugías ortopédicas. Su composición le permite formar una unión fuerte y estable entre los huesos, permitiendo que el cuerpo repare y fortalezca la zona afectada de manera natural.",El titanio es un elemento metálico gris oscuro que se encuentra en la tierra. Es conocido por su resistencia y se utiliza en la reparación de huesos fracturados.
002,medio ambiente,"Los elementos externos y las condiciones que rodean, influyen y afectan la vida y el desarrollo de un organismo o población. ","Todo lo que rodea a las personas, los animales y los seres vivos en general: el aire que respiran, el agua que beben, el suelo donde viven, la temperatura, la luz y los demás seres con los que conviven. Estos elementos influyen en la salud y en el desarrollo de los seres vivos, y a su vez pueden verse afectados por las actividades humanas.","Es el conjunto de todo lo que nos rodea y afecta a los seres vivos, como el aire, el agua, el suelo, el clima, las plantas, los animales y las acciones de las personas. Estas condiciones influyen en cómo viven, crecen y se desarrollan los seres vivos. Mantenerlo en buen estado es importante para la salud y la vida.","El medio ambiente son los elementos exteriores y las condiciones que rodean a una persona, animal o planta, que influyen en su vida y desarrollo. Se trata de todo lo que nos rodea: la naturaleza, el clima, la tierra, el agua, las personas con las que interactuamos, la comida, los objetos que utilizamos... Todos ellos juntos crean un entorno que afecta nuestra salud, nuestro bienestar y nuestro futuro.","El medio ambiente es todo lo que está alrededor de nosotros, incluyendo el suelo, el aire y el agua, que afecta la vida de las personas y los animales."
003,forma farmacéutica,"Formularios completos con la preparación farmacéutica completa en la que se prescriben las dosis de la medicación. Se diseñan para resistir la acción de los fluidos gástricos, prevenir los vómitos y náuseas, reducir o aliviar el sabor indeseable y olores asociados con la administración oral, lograr una alta concentración de fármaco en objetivo, o producir un efecto retardado o prolongado del fármaco. ","La manera en que se presenta un medicamento para que la persona lo pueda tomar o aplicar. Por ejemplo, puede ser una pastilla que se traga, un jarabe que se bebe, una crema que se aplica en la piel o unas gotas que se instilan en los ojos. Cada presentación está diseñada para que el medicamento llegue al lugar del cuerpo donde debe actuar, en la cantidad adecuada y de la forma más cómoda y segura posible.","Manera en que se prepara y se presenta un medicamento para que pueda usarse correctamente, por ejemplo como pastilla, jarabe o crema. Esta preparación permite dar la cantidad adecuada, facilita su toma y ayuda a que actúe cuando y donde debe hacerlo, con un efecto que puede ser rápido o durar más tiempo.","Una forma farmacéutica es un producto final preparado por farmacéuticos que contiene una dosis específica de medicamento para tratar o prevenir una enfermedad. Estos productos están diseñados para ser fácilmente administrables, ya sea por vía oral, y tienen varias características únicas como la capacidad de soportar el ácido estomacal, reducir los efectos indeseables como náuseas o vómitos, y liberar el medicamento en el cuerpo de manera controlada. Esto garantiza que el fármaco actúe de manera eficaz y segura.",Una forma farmacéutica es un paquete completo que contiene la medicación preparada de forma exacta según la receta del médico. Su objetivo es proteger la medicación de los ácido estomáticos del estómago y evitar problemas como vómitos o malestar.
004,notificación,"Notificación o comunicación oficial por un médico u otro proveedor de atención de salud de la ocurrencia de enfermedades contagiosas específicas como tuberculosis y infecciones por VIH para agencias designadas de salud pública. El sistema de los Estados Unidos de comunicación oficial de enfermedades notificables evolucionó del Quarantine Act de 1878, que autorizaba el Servicio de Salud Pública a colectar datos de morbidad de cólera, viruela y fiebre amarilla; cada estado en los EUA tiene su propia lista de enfermedades notificables y depende ampliamente de la comunicación de cada proveedor individual de atención de salud. ","Aviso oficial que un profesional sanitario envía a las autoridades de salud pública cuando detecta ciertos tipos de enfermedades, especialmente las que pueden transmitirse de una persona a otra. Este aviso permite a las autoridades conocer cuántos casos hay, dónde se producen y tomar medidas para proteger a la población. Cada país o región establece qué enfermedades deben comunicarse de forma obligatoria.","Comunicación oficial para informar a las autoridades sanitarias de la aparición de una enfermedad concreta. La realizan profesionales de la salud con el fin de proteger a la población, vigilar la situación y tomar medidas para prevenir la propagación de enfermedades.","La notificación es una comunicación oficial que un médico o un proveedor de atención sanitaria debe hacer a las autoridades competentes cuando alguien adquiere una enfermedad contagiosa grave. Esto puede incluir enfermedades como la tuberculosis o el VIH. La notificación es importante para ayudar a prevenir la propagación de estas enfermedades y garantizar que se tomen medidas adecuadas. Los proveedores de atención sanitaria están obligados a informar a las autoridades saludables sobre cualquier caso sospechoso, lo que ayuda a mantener la salud pública.
","Una notificación es la comunicación oficial de enfermedades contagiosas específicas, como la tuberculosis o las infecciones por VIH, a las agencias designadas de salud pública."
005,sílice,"Cristales transparentes, insípidos que se encuentran en la naturaleza en forma de ágata, amatista, calcedonia, cristobalita, pedernal, arena, cuarzo y tridimita. El compuesto es insoluble en agua o ácidos excepto el ácido hidrofluórico. ","Sustancia natural muy abundante en la corteza terrestre que se encuentra en materiales como la arena, el cuarzo y algunas piedras. Se presenta en forma de pequeños cristales sin color ni sabor. Se usa en la construcción, la fabricación de vidrio y otros sectores industriales. Respirar el polvo fino que produce puede ser perjudicial para la salud pulmonar, especialmente en entornos de trabajo donde se manipulan materiales que la contienen.","Material natural formado por pequeños cristales muy duros que se encuentran en la arena, las rocas y el suelo. Es incoloro o transparente y no tiene sabor. Se usa en muchos productos cotidianos, como el vidrio y algunos materiales de construcción. En forma de polvo muy fino, puede ser dañino si se respira durante mucho tiempo.","Sílice se refiere a un mineral natural que se presenta como cristales transparentes y sin sabor. Pueden encontrarse en diversas formas, como la amatista, el cuarzo o la arena. La sílice no se disuelve bien en agua ni en ácidos, excepto en ciertos casos con ácido hidrofluórico.""","El sílice es un material cristalino transparente que se encuentra naturalmente en muchas formas, como ágata, amatista o cuarzo. Es insoluble en agua y solo se disuelve en ácido hidrofluórico."
006,hernia de hiato,"Herniación del estómago localizada cerca o en la abertura diafragmática del esófago, el hiato esofágico. ","Alteración en la que una parte del estómago sube hacia el pecho a través de una pequeña abertura natural del músculo que separa el pecho del abdomen. Normalmente, el estómago está en el abdomen, pero cuando se produce esta alteración, una porción asciende a donde no debería. Puede causar síntomas como ardor o sensación de acidez, especialmente después de las comidas o al tumbarse.",Situación en la que una parte del estómago se desplaza hacia arriba y entra en el pecho a través de una abertura del músculo que separa el pecho del abdomen. Esto ocurre cerca del tubo que lleva la comida desde la boca al estómago. Puede causar molestias como ardor o sensación de acidez.,"Una hernia es cuando parte de un órgano se proyecta fuera de su posición normal. En este caso, nos referimos a una estructura que separa el estómago del esófago (una vía para la comida). Cuando esta estructura se daña, puede protrusión de una porción del estómago hacia abajo, justo encima del esófago. Esto sucede cuando se produce una debilidad en la zona donde el estómago y el esófago se unen.","Una hernia de hiato es un desplazamiento del estómago hacia la zona del diafragma, cerca de la abertura a través del esófago."
007,sacarosa,"Disacárido no reductor compuesto de glucosa y fructosa, unidas a través de sus carbonos anoméricos. Se obtiene comercialmente de la caña de azúcar, remolacha de azúcar (Beta vulgaris) y otras plantas y se usa ampliamente como alimento y edulcorante. ",Tipo de azúcar natural que se obtiene principalmente de la caña de azúcar y de la remolacha. Es el azúcar blanco o moreno que se usa habitualmente en la cocina y en la industria alimentaria para endulzar alimentos y bebidas. El cuerpo la descompone durante la digestión para obtener energía. Su consumo en exceso puede estar relacionado con problemas de salud como la obesidad o la diabetes.,"Azúcar común que se obtiene de plantas como la caña de azúcar o la remolacha. Tiene sabor dulce y se usa mucho para endulzar alimentos y bebidas. Aporta energía al cuerpo, pero su consumo en exceso puede ser perjudicial para la salud.","La sacarosa es un tipo de azúcar natural formado por el enlace entre dos moléculas simples: la glucosa y la fructosa. Estas dos moléculas están conectadas de manera específica, lo que le da propiedades únicas al cuerpo humano. La sacarosa se encuentra comúnmente en alimentos como pan, frutas, verduras y bebidas, y es utilizada tanto como alimento como edulcorante en muchas recetas.","La sacarosa es un azúcar compuesto por glucosa y fructosa. Se encuentra en productos como la caña de azúcar, la remolacha de azúcar y algunas plantas. Es un edulcorante y alimento común."
008,bomba de protones,Proteínas integrales de membrana que transportan protones a través de una membrana. Este transporte puede estar relacionado con la hidrólisis del adenosina trifosfato. Lo referente a inhibidores de bomba de protones frecuentemente también se refiere a la ATPasa de potasio e hidrógeno. ,"Mecanismo presente en las células del estómago que produce el ácido necesario para la digestión. Funciona como una pequeña bomba que libera ácido al interior del estómago. Cuando este mecanismo produce demasiado ácido, pueden aparecer problemas como el ardor o las úlceras. Existen medicamentos, conocidos como inhibidores de este mecanismo, que reducen la producción de ácido y se usan para tratar estas afecciones.",Sistema del cuerpo que ayuda a producir ácido en el estómago. Funciona como un mecanismo que mueve sustancias especiales a través de las paredes de las células del estómago para formar el ácido necesario para la digestión. Algunos medicamentos actúan sobre este sistema para reducir la acidez y aliviar molestias como el ardor o la acidez.,"Una molecula de proteína que transporta iones positivos (protones) a través de una membrana celular. Estas proteínas son fundamentales para mantener el equilibrio de electrolitos en el interior y exterior del cuerpo. Un ejemplo común es como un ""puerto"" donde los iones pueden entrar o salir, ayudando a regular la cantidad de líquido en el cuerpo y mantener la presión arterial adecuada.","Las bombas de protones son proteínas que transportan protones (iones positivos de hidrógeno) a través de las membranas celulares. Este transporte es importante para diversos procesos celulares, como el funcionamiento de la ATPasa de potasio e hidrógeno."
009,gelatina,"Producto que se forma a partir de la piel, tejido conectivo blanco, o del colágeno del hueso. Se utiliza como adyuvante proteico alimentario, sustituto del plasma, hemostático, agente de suspensión en preparados farmacéuticos y en la producción de cápsulas y supositorios.","Sustancia de origen animal que se obtiene a partir de huesos, cartílagos y pieles cocidos. Tiene una textura blanda y transparente, y se solidifica al enfriarse. Se usa en alimentación para elaborar postres y otros productos, y también en el ámbito sanitario para fabricar cápsulas de medicamentos, apósitos para heridas y otros productos farmacéuticos. Las personas con dietas vegetarianas o veganas deben tener en cuenta que no es de origen vegetal.","Sustancia transparente y flexible que se obtiene de partes naturales como la piel y los huesos de animales. Se usa en alimentación por su aporte de proteínas y también en salud y farmacia, por ejemplo para fabricar cápsulas de medicamentos o ayudar a detener pequeños sangrados. Además, se emplea para dar forma o consistencia a algunos productos líquidos.","Es un producto derivado de los tejidos blancos del cuerpo humano o del hueso. Se utiliza principalmente como aditivo proteico en alimentos, para ayudar a dar textura y consistencia. También se usa para controlar la pérdida de sangre y como agente de suspensión en medicamentos y supositorios.","La gelatina es un producto natural derivado de los tejidos conectivos de animales. Es utilizado como alimento, como sustituto del plasma, y en la producción de medicamentos y productos farmacéuticos."
010,epilepsia parcial,"Afección que se caracteriza por descargas neuronales paroxísticas y recurrentes que surgen en una región focal del cerebro. Las convulsiones parciales se dividen en simples y complejas, dependiendo de si se altera (convulsión parcial compleja) o no, la conciencia (convulsión parcial simple). Ambos tipos pueden presentar una amplia variedad de síntomas motores, sensoriales, y autonómicos.","Tipo de epilepsia en la que las crisis eléctricas anormales del cerebro se originan en una zona concreta, sin afectar a todo el órgano. Según si la persona mantiene o pierde la conciencia durante la crisis, se distinguen dos tipos. Los síntomas pueden variar mucho de una persona a otra: movimientos involuntarios, alteraciones de los sentidos, sensaciones extrañas o cambios en el comportamiento, entre otros. Las crisis suelen ser breves y repetirse con el tiempo.","Trastorno en el que se producen crisis repetidas causadas por una actividad anormal en una zona concreta del cerebro. Durante las crisis pueden aparecer movimientos involuntarios, cambios en las sensaciones o comportamientos extraños. En algunos casos la persona mantiene la conciencia, y en otros puede perderla por un corto tiempo.","La epilepsia parcial es un trastorno del cerebro que causa descargas bruscas de energía en una parte específica del encéfalo. Estas descargas"" pueden causar convulsiones que afectan solo una parte del cuerpo, como la cara o un brazo. Algunas personas experimentan convulsiones fáciles de controlar y sin síntomas adicionales, mientras que otras pueden experimentar convulsiones más intensas y con síntomas complejos, como pérdida de conciencia o alteraciones en la coordinación motora.""","La epilepsia parcial es un problema del cerebro que causa ataques convulsivos. Estos ataques se limitan a una parte del cerebro, y pueden afectar la conciencia, los movimientos o los sentidos. Hay dos tipos de ataques convulsivos parciales: simples y complejos."
