categoria,modelo,n,media,desviacion_tipica,mediana,Q1,Q3,minimo,maximo
n_tokens,Claude,500,70.706,8.4578,71,65,77,46,92
n_tokens,Gemma,500,39.49,9.3792,39,32,46,19,70
n_tokens,GPT,500,59.598,10.3626,59,52,67,32,86
n_tokens,Humano,500,38.874,21.6398,34,23,52,5,127
n_tokens,Llama,500,65.62,14.6357,67,55,76,20,98
longitud_media_oracion,Claude,500,20.6068,3.9992,20,17.7875,23.3333,12.8333,41.5
longitud_media_oracion,Gemma,500,19.2393,4.565,18.5,16,21.5,10.6667,42
longitud_media_oracion,GPT,500,16.9048,3.2903,16.5,14.6,18.6667,9.75,32.5
longitud_media_oracion,Humano,500,19.9926,8.553,18.5,14.5,23.6667,5,70
longitud_media_oracion,Llama,500,19.9101,4.1923,19.3333,17,22.2708,8.3333,38
ttr_formas,Claude,500,0.7558,0.0517,0.754,0.7179,0.7917,0.6173,0.898
ttr_formas,Gemma,500,0.8028,0.0763,0.8049,0.75,0.8537,0.5536,1
ttr_formas,GPT,500,0.7917,0.0542,0.7877,0.756,0.8261,0.6184,0.94
ttr_formas,Humano,500,0.8245,0.1016,0.8261,0.75,0.898,0.5169,1
ttr_formas,Llama,500,0.7828,0.0654,0.7808,0.7397,0.8276,0.5909,0.9744
ttr_lemas,Claude,500,0.7054,0.0528,0.7049,0.6667,0.7397,0.5556,0.8431
ttr_lemas,Gemma,500,0.7444,0.0759,0.7436,0.6954,0.7969,0.5179,0.9643
ttr_lemas,GPT,500,0.7456,0.0579,0.7426,0.7065,0.7826,0.575,0.9394
ttr_lemas,Humano,500,0.7857,0.1126,0.7835,0.7059,0.8636,0.4471,1
ttr_lemas,Llama,500,0.7159,0.0677,0.7101,0.6667,0.7641,0.5517,0.92
profundidad_max_dependencias,Claude,500,6.856,1.4323,7,6,8,4,13
profundidad_max_dependencias,Gemma,500,5.896,1.2994,6,5,7,3,11
profundidad_max_dependencias,GPT,500,6.222,1.3146,6,5,7,4,12
profundidad_max_dependencias,Humano,500,6.018,1.9466,6,5,7,2,13
profundidad_max_dependencias,Llama,500,6.5,1.3257,6,6,7,4,13
inflesz,Claude,500,76.4101,8.2338,76.7779,71.0677,82.5903,49.0714,97.6142
inflesz,Gemma,500,75.9954,10.4669,76.3256,69.3273,83.01,47.235,108.9382
inflesz,GPT,500,83.8595,7.8538,84.3635,78.8698,89.3961,61.9017,102.3096
inflesz,Humano,500,65.6416,14.7453,66.2935,56.975,75.5773,10.5638,107.385
inflesz,Llama,500,73.3824,8.5599,73.4726,67.2018,79.3008,46.6504,101.6092
prop_hapax,Claude,500,0.5569,0.0724,0.5556,0.5044,0.6032,0.3704,0.7551
prop_hapax,Gemma,500,0.5925,0.1102,0.5897,0.5213,0.6667,0.3036,0.9286
prop_hapax,GPT,500,0.603,0.0791,0.5965,0.5455,0.6471,0.3585,0.8788
prop_hapax,Humano,500,0.6663,0.157,0.65,0.5498,0.7626,0.2471,1.0667
prop_hapax,Llama,500,0.5564,0.0911,0.5509,0.4922,0.6223,0.321,0.84
prop_sust,Claude,500,0.2665,0.0337,0.2647,0.2436,0.2881,0.1711,0.3553
prop_sust,Gemma,500,0.2871,0.0442,0.2889,0.2581,0.3168,0.1429,0.4091
prop_sust,GPT,500,0.2611,0.0383,0.26,0.2373,0.2882,0.1509,0.4
prop_sust,Humano,500,0.3116,0.061,0.3077,0.2707,0.3448,0.1111,0.5455
prop_sust,Llama,500,0.2666,0.0351,0.2657,0.2435,0.2895,0.1591,0.3902
prop_adj,Claude,500,0.0878,0.0358,0.0851,0.0617,0.1096,0,0.1875
prop_adj,Gemma,500,0.0989,0.0493,0.0965,0.0645,0.1333,0,0.25
prop_adj,GPT,500,0.0719,0.0355,0.0685,0.0462,0.0944,0,0.225
prop_adj,Humano,500,0.169,0.0821,0.1601,0.1141,0.2083,0,0.5
prop_adj,Llama,500,0.1089,0.0392,0.1084,0.0816,0.1345,0.0143,0.2344
prop_adv,Claude,500,0.0361,0.0223,0.0357,0.0169,0.0494,0,0.15
prop_adv,Gemma,500,0.02,0.025,0.0163,0,0.0323,0,0.1429
